name,ring,quadrant,isNew,description
CSharp,Adopt,languages-and-frameworks,FALSE,"<p>C# is open source, object-oriented programming language for Web development. Its is easy to learn and  also supports modern day functionality of software development. C# is designed to work with .NET platform. C# langage is considered a high-level language becouse its syntax resembles human language.</p>"
python,Adopt,languages-and-frameworks,FALSE,"<p>Python is an interpreted, object-oriented programming language. Syntax of this language is easy to learn. Python supports modules and packages, which encourages program modularity and code reuse. The python interpreter is available in source or binary form without charge for all major platforms, and can be freely distributed</p>"
R,Adopt,languages-and-frameworks,FALSE,"<p>R is a free software environment for statistical computing. R is an implementation of S. This means that both languages are built on the same basis. There are some important differences. For example standard data files for S and R are not compatibile and Interfaces to other software are entirely different. One of the R's strength is the ease of creating a easy to read and multidimensional plots</p>"
javascript,Adopt,languages-and-frameworks,FALSE,"<p>JavaScript is compiled programming language with first-class functions. It is a prototype-based, multi-paradigm, single-threaded, dynamic language, supporting object-oriented. JavaScript was initially created to “make web pages alive” </p>"
bootstrap,Trial,languages-and-frameworks,FALSE,"<p>Bootstrap is a free and open-source web development framework. Its the most popular CSS Framework for developing responsive websites. The Bootstrap framework is built on Hypertext Markup Language, cascading style sheets and JavaScript. Web developers using Bootstrap can build websites much faster without spending time worrying about basic commands and functions.</p>"
react,Trial,languages-and-frameworks,FALSE,"<p>React is a JavaScript UI development library. It is widely used in web development. React offers various extensions for entire application architectural support, such as Flux and React Native, beyond mere UI.</p>"
enzyme,Trial,languages-and-frameworks,FALSE,"<p>Enzyme is a JavaScript testing tool for React. With Enzyme you can easly manipulate and simulate runtime given the output. Enzyme, created by Airbnb, adds some great utility methods for rendering multiple components, finding elements, and interacting with elements.</p>"
jest,Trial,languages-and-frameworks,FALSE,"<p>Jest is a Javascript testing framework built by Facebook. It is designed for React apps but could be used for any Javascript codebases. Jest maximize performance by running tests in their own processes. Jest also provides snapshot testing, the ability to create a rendered ‘snapshot’ of a component and compare it to a previously saved ‘snapshot’. The test will fail if the two do not match. </p>"
Azure Blobs,Assess,Platforms,TRUE,"<p>Azure Blob storage is Microsoft's object storage solution for the cloud. Blob storage is optimized for storing massive amounts of unstructured data. Blob storage is designed for many things. For example Storing data for backups or Serving documents directly to a browser</p>"
Azure AppService,Assess,Platforms,TRUE,"<p>Azure App Service enables you to build and host web apps, mobile back ends, and RESTful APIs in the programming language of your choice without managing infrastructure. It offers auto-scaling, supports both Windows and Linux, and enables automated deployments from GitHub, Azure DevOps, or any Git repo.</p>"
Azure B2C,Assess,Platforms,TRUE,"<p>Azure B2C is used for end user authentication. It is designed to be used by IT administrators and developers to make app development process faster and outsource tedious and expensive maintenance tasks to an external service.</p>"
Azure Container Registry,Trial,Platforms,TRUE,"<p>Azure Container Registry allows to build and manage container images for all types of container deployments. Registries are available in three tiers: Basic, Standard and Premium. They have registry authentication, webhook integration and delete functionalities.</p>"
Azure Container Instances,Trial,Platforms,TRUE,"<p>Azure Container Instances offers the fastests and simplest way to run container in Azure. You dont have to manage any virtual machines. Azure Container Instances is a great solution for any scenario. For example task automation or simple applications. Containers offer significant benefits over virtual machines. ACI can start containers in seconds.</p>"
AWS ECS,Trial,Platforms,TRUE,"<p>Amazon Elastic Container Service (ECS) is a container management service that can run, stop and manage containers on a cluster. Amazon ECS also have following features: A serverless option with Fragate, integration with AWS Identity and also Support for sending container log information to CloudWatch Logs.</p>"
GitHub Actions,Assess,Platforms,TRUE,"<p>GitHub Actions makes it easy to automate all your software workflows. GitHub Actions is a continuous integration and continuous delivery (CI/CD) platform that allows you to automate your build, test, and deployment pipeline. You can create workflows that build and test every pull request to your repository, or deploy merged pull requests to production.</p>"
MongoDB,Assess,Platforms,TRUE,"<p>MongoDB is an open source database management sysytem. It uses flexible documents and rows to process and store data. Data structure can be changed over time. The document model maps to the objects in application code, making data easy to work with</p>"
Terraform,Trial,Tools,TRUE,"<p>Terraform is a tool that allows us to build and change infrastructure safely and efficiently. Terraform provides a flexible abstraction of resources and providers. This model allows for representing everything from physical hardware, virtual machines, and containers, to email and DNS providers.</p>"
dotnet,Assess,Tools,TRUE,"<p>.NET is a free, cross-platform, open source developer platform for building many different types of applications. With .NET you can use multiple languages such as C#, F# or Visual Basic. It also provides multiple editors and libraries to build mobile, desktop, games and IoT apps.</p>"
itext7,Trial,languages-and-frameworks,FALSE,"<p>iText 7 is the latest version of iText's powerful PDF Toolkit for PDF generation, PDF programming, handling & manipulation, such as digital signing and more. iText 7 allows you to build custom PDF scenarios for web, mobile, desktop or cloud apps in .NET.</p>"
swagger,Adopt,Techniques,TRUE,"<p>Swager is an open source tool for developing REST APIs. Swagger framework allows developers to create easy to understand API documentation. It supports the creation of API libraries in over 40 languages.</p>"
plumber,Trial,languages-and-frameworks,FALSE,"<p>Plumber is an open source R package that allows you to create a web API by merely decorating exiting R source code with special comments. The plumber R package allows users to expose existing R code as a service available to others on the Web.</p>"
markdown,Trial,Tools,TRUE,"<p>Markdown is a markup language, that is used for adding formatting elements to plain text documents. Markdown is one of the most popular markup languages in the world. Markdown can be used for various things. People use it to create websites, documents, notes, presentations and technical documentation. You can create Markdown-formatted text on any device running any operating system.</p>"
ggplot2,Trial,languages-and-frameworks,FALSE,"<p>ggplot2 is a system for declaratively creating graphics, based on The Grammar of Graphics. You provide the data, tell ggplot2 how to map variables to aesthetics, what graphical primitives to use, and it takes care of the details.</p>"
selenium,Trial,Tools,TRUE,"<p>Selenium is an open-source automated testing framework used to validate web applications across different browsers and platforms. We can use multiple programming languages like java, C# or Python to create Selenium Test Scripts. Selenium Software is not just a single tool but a suite of software. </p>"
